여행ID,TRIP_ID,출발방문지ID,도착방문지ID,출발시간,도착시간,이동방법코드1,이동방법코드2
b_b005618,2210090008,,2210090008,,2022/10/09 15:30,15,15
a_a005813,2210220001,2210220001,,2022/10/22 15:00,,,
d_d006863,2210260001,,2210260001,,2022/10/26 9:30,10,2
d_d002115,2210040003,,2210040003,,2022/10/04 8:30,9,
d_d005747,2210140006,,2210140006,,2022/10/14 17:00,2,
a_a001590,2209040005,,2209040005,,2022/09/04 8:00,15,
d_d001835,2210060006,,2210060006,,2022/10/06 18:00,4,
d_d005405,2210120005,,2210120005,,2022/10/12 15:00,1,
a_a005955,2210080004,,2210080004,,2022/10/08 16:30,1,
a_a002838,2210020007,,2210020007,,2022/10/02 18:30,1,
b_b000786,2209060005,,2209060005,,2022/09/06 18:30,2,
d_d000408,2209140003,,2209140003,,2022/09/14 13:30,2,
d_d007484,2210290010,,2210290010,,2022/10/29 21:30,1,
d_d010344,2211020007,,2211020007,,2022/11/02 20:00,2,
d_d002598,2210040003,,2210040003,,2022/10/04 14:00,2,
d_d001448,2209240007,,2209240007,,2022/09/24 17:30,2,
c_c000869,2208210009,,2208210009,,2022/08/21 21:30,15,
d_d007611,2210300002,,2210300002,,2022/10/30 11:00,2,
d_d004523,2210100005,,2210100005,,2022/10/10 14:30,1,
d_d011359,2211070002,,2211070002,,2022/11/07 16:30,2,
d_d000902,2208210005,,2208210005,,2022/08/21 16:00,1,
d_d010155,2211030005,,2211030005,,2022/11/03 4:00,4,
d_d001961,2210290005,,2210290005,,2022/10/29 18:00,2,
d_d005060,2210250002,,2210250002,,2022/10/25 14:30,1,
d_d000326,2208210002,,2208210002,,2022/08/21 10:30,2,2
d_d009475,2211030005,,2211030005,,2022/11/03 14:30,2,
d_d000867,2208270006,,2208270006,,2022/08/27 19:00,2,
d_d010401,2211020005,,2211020005,,2022/11/02 14:30,2,
c_c003205,2210020005,,2210020005,,2022/10/02 16:00,1,
d_d005156,2210210002,,2210210002,,2022/10/21 14:00,10,2
d_d000912,2208310013,,2208310013,,2022/08/31 17:00,1,
d_d002185,2210040002,,2210040002,,2022/10/04 10:00,15,
d_d006985,2210280007,,2210280007,,2022/10/28 16:00,4,
d_d009248,2211030001,,2211030001,,2022/11/03 11:00,14,
d_d002303,2210080001,,2210080001,,2022/10/08 14:30,15,
d_d006174,2210150002,,2210150002,,2022/10/15 17:00,1,
d_d004256,2210100009,,2210100009,,2022/10/10 21:00,9,
d_d006848,2210200012,,2210200012,,2022/10/20 20:00,1,
d_d001057,2209020002,,2209020002,,2022/09/02 11:30,1,1
d_d005582,2210130005,,2210130005,,2022/10/13 15:00,15,
d_d003258,2210120014,,2210120014,,2022/10/12 19:00,15,15
d_d012203,2211050005,,2211050005,,2022/11/05 17:00,2,
d_d010126,2211010001,,2211010001,,2022/11/01 6:00,15,
d_d003745,2210090004,,2210090004,,2022/10/09 15:00,1,
d_d004467,2210220003,,2210220003,,2022/10/22 15:30,2,
d_d003090,2210040001,2210040001,,2022/10/04 8:30,,,
d_d008242,2210300005,,2210300005,,2022/10/30 21:30,9,1
d_d001976,2210150004,,2210150004,,2022/10/15 12:30,4,
d_d005892,2210110006,,2210110006,,2022/10/11 15:30,2,
d_d001961,2210270005,,2210270005,,2022/10/27 20:00,9,
d_d000091,2208140006,,2208140007,,2022/08/14 15:30,15,15
d_d004833,2210180001,,2210180001,,2022/10/18 10:00,14,
b_b005963,2210030005,,2210030005,,2022/10/03 18:00,1,
a_a002082,2209120005,,2209120005,,2022/09/12 20:00,13,5
d_d002687,2210070006,,2210070006,,2022/10/07 0:00,15,
d_d004589,2210130005,,2210130005,,2022/10/13 20:30,2,
d_d000677,2208280001,,2208280001,,2022/08/28 13:00,2,
d_d006717,2210270005,,2210270005,,2022/10/27 18:00,2,
d_d001601,2209230008,,2209230008,,2022/09/23 21:00,15,
c_c000263,2208160003,,2208160003,,2022/08/16 10:00,15,
d_d009807,2211050002,,2211050002,,2022/11/05 20:30,1,
d_d002225,2210040001,,2210040001,,2022/10/04 18:00,4,
d_d009025,2210290003,,2210290003,,2022/10/29 11:30,15,
d_d005329,2210290002,,2210290002,,2022/10/29 11:30,2,
d_d003567,2210090004,,2210090004,,2022/10/09 20:00,2,
d_d009371,2210290007,,2210290007,,2022/10/29 20:00,1,
d_d007913,2210270002,,2210270002,,2022/10/27 12:30,13,
d_d001686,2209270003,,2209270003,,2022/09/27 13:30,9,
b_b005802,2210010001,,2210010001,,2022/10/01 7:00,15,15
c_c002171,2209140003,,2209140003,,2022/09/14 15:30,1,
a_a001313,2209010005,,2209010005,,2022/09/01 18:30,1,
d_d010401,2210310002,,2210310002,,2022/10/31 11:00,2,
d_d005114,2210290005,,2210290005,,2022/10/29 22:00,2,
a_a001832,2210010003,,2210010003,,2022/10/01 16:00,14,
d_d001521,2209250003,,2209250003,,2022/09/25 16:00,2,
d_d004228,2210140001,2210140001,,2022/10/14 17:30,,,
d_d003448,2210050001,2210050001,,2022/10/05 17:30,,,
d_d000209,2209030004,,2209030004,,2022/09/03 11:30,2,
d_d004288,2210240003,,2210240003,,2022/10/24 19:00,9,
d_d002811,2210140006,,2210140006,,2022/10/14 15:30,15,
a_a001517,2208270004,,2208270004,,2022/08/27 17:30,1,
c_c004084,2209290003,,2209290003,,2022/09/29 9:00,7,
d_d007180,2210250007,,2210250007,,2022/10/25 18:30,15,
d_d010521,2211040007,,2211040007,,2022/11/04 13:00,2,
d_d009829,2210310003,,2210310003,,2022/10/31 13:00,15,
d_d005056,2210150006,,2210150006,,2022/10/15 14:30,1,
d_d009480,2211010006,,2211010006,,2022/11/01 21:00,15,
d_d009451,2211030002,,2211030002,,2022/11/03 23:30,1,1
a_a004731,2210300001,2210300001,,2022/10/30 10:30,,,
d_d001935,2210070004,,2210070004,,2022/10/07 13:00,9,
d_d004491,2210090001,2210090001,,2022/10/09 14:00,,,
d_d000368,2208290005,,2208290005,,2022/08/29 18:00,2,
d_d002933,2210090001,,2210090001,,2022/10/09 10:30,2,
d_d009000,2210300002,,2210300002,,2022/10/30 8:30,13,
d_d005999,2210200011,,2210200011,,2022/10/20 22:00,1,
d_d010373,2210300003,,2210300003,,2022/10/30 8:00,1,
d_d003951,2210290007,,2210290007,,2022/10/29 15:30,13,
d_d004595,2210160005,,2210160005,,2022/10/16 15:00,2,
c_c000269,2208290006,,2208290006,,2022/08/29 17:00,15,
d_d001755,2210190004,,2210190004,,2022/10/19 12:30,2,
d_d006657,2210170003,,2210170003,,2022/10/17 17:00,2,
d_d001812,2210040004,,2210040004,,2022/10/04 11:00,15,
d_d001981,2210240009,,2210240009,,2022/10/24 8:30,9,9
d_d000670,2208240003,,2208240003,,2022/08/24 12:30,9,
d_d007492,2210240002,,2210240002,,2022/10/24 19:30,13,15
d_d002878,2210190007,,2210190007,,2022/10/19 12:30,1,
d_d000810,2208230004,,2208230004,,2022/08/23 9:00,9,
d_d007052,2210220004,,2210220004,,2022/10/22 15:00,1,
b_b000151,2208250007,,2208250007,,2022/08/25 16:30,2,
d_d001586,2210040003,,2210040003,,2022/10/04 14:00,1,
d_d006689,2210290010,,2210290010,,2022/10/29 4:30,4,
d_d001424,2209180003,,2209180003,,2022/09/18 8:00,1,
d_d002237,2210200005,,2210200005,,2022/10/20 15:00,2,
d_d002382,2210040002,,2210040002,,2022/10/04 12:30,2,
d_d002111,2210200006,,2210200006,,2022/10/20 15:00,13,
d_d010344,2210310001,2210310001,,2022/10/31 12:30,,,
d_d004638,2211070001,,2211070001,,2022/11/07 7:30,12,1
d_d009311,2210300007,,2210300007,,2022/10/30 18:00,1,
d_d001876,2209280015,,2209280015,,2022/09/28 21:00,15,
d_d006098,2210220003,,2210220003,,2022/10/22 11:30,1,1
d_d003454,2210220004,,2210220004,,2022/10/22 15:30,1,
d_d001432,2209100012,,2209100012,,2022/09/10 18:30,2,
a_a001299,2209040003,,2209040003,,2022/09/04 15:30,1,
a_a001178,2208270004,,2208270004,,2022/08/27 16:30,1,
d_d001839,2210030005,,2210030005,,2022/10/03 14:30,14,
d_d000511,2208270010,,2208270010,,2022/08/27 17:00,16,
d_d001961,2210300002,,2210300002,,2022/10/30 11:00,2,
d_d000818,2208290003,,2208290003,,2022/08/29 13:00,2,
d_d003065,2210120009,,2210120009,,2022/10/12 18:00,2,15
d_d000240,2208240005,,2208240005,,2022/08/24 17:30,2,
d_d004854,2210160003,,2210160003,,2022/10/16 12:00,4,
d_d006999,2210300003,,2210300003,,2022/10/30 23:00,1,1
d_d002697,2210300002,,2210300002,,2022/10/30 10:30,9,4
d_d000518,2208240005,,2208240005,,2022/08/24 15:30,9,
d_d001443,2209260007,,2209260007,,2022/09/26 20:30,13,
d_d012290,2211130004,,2211130004,,2022/11/13 14:30,1,
d_d003259,2210170004,,2210170004,,2022/10/17 12:30,1,
d_d006979,2210200002,,2210200002,,2022/10/20 12:00,15,
d_d001037,2208310002,,2208310002,,2022/08/31 12:00,13,15
d_d006679,2210300001,,2210300001,,2022/10/30 11:30,1,
d_d009437,2210290002,,2210290002,,2022/10/29 21:00,9,5
d_d009099,2210290009,,2210290009,,2022/10/29 19:00,2,
d_d001688,2209240004,,2209240004,,2022/09/24 13:00,2,
d_d005200,2210270004,,2210270004,,2022/10/27 10:00,10,
d_d005992,2210150004,,2210150004,,2022/10/15 15:00,1,
d_d001832,2209290006,,2209290006,,2022/09/29 19:00,2,
d_d010437,2211070003,,2211070003,,2022/11/07 16:00,2,
d_d000774,2209020006,,2209020006,,2022/09/02 15:30,13,15
d_d002005,2210030005,,2210030005,,2022/10/03 19:00,1,
d_d010186,2210310002,,2210310002,,2022/10/31 12:30,2,
d_d001226,2209120001,,2209120001,,2022/09/12 20:30,2,
d_d004282,2210300003,,2210300003,,2022/10/30 13:30,15,
d_d000955,2208270008,,2208270008,,2022/08/27 18:30,15,
d_d001637,2209280004,,2209280004,,2022/09/28 12:30,1,
d_d001453,2210020001,,2210020001,,2022/10/02 22:00,9,4
d_d005426,2210150003,,2210150003,,2022/10/15 12:00,9,
c_c000618,2209020005,,2209020005,,2022/09/02 15:30,15,
d_d001124,2209200002,,2209200002,,2022/09/20 10:30,15,
d_d000668,2208200011,,2208200011,,2022/08/20 18:00,4,
d_d003807,2210210003,,2210210003,,2022/10/21 11:30,2,
d_d000768,2208210007,,2208210007,,2022/08/21 19:00,2,
d_d001143,2209210003,,2209210003,,2022/09/21 15:30,4,
d_d006098,2210230003,,2210230003,,2022/10/23 14:00,1,
c_c003050,2210020003,,2210020003,,2022/10/02 11:30,1,
d_d010760,2211040009,,2211040009,,2022/11/04 3:30,2,
d_d007492,2210240006,,2210240006,,2022/10/24 11:30,13,15
d_d001164,2209170013,,2209170013,,2022/09/17 22:00,2,
d_d006262,2210210002,,2210210002,,2022/10/21 14:00,2,
d_d002431,2210160006,,2210160006,,2022/10/16 19:00,15,
d_d003557,2210240001,,2210240001,,2022/10/24 6:30,14,
d_d001485,2209170008,,2209170008,,2022/09/17 16:30,4,
d_d001323,2209120008,,2209120008,,2022/09/12 20:00,15,
c_c002185,2209180004,,2209180004,,2022/09/18 15:30,1,1
d_d009122,2210300004,,2210300004,,2022/10/30 15:30,1,
d_d000323,2208210003,,2208210003,,2022/08/21 15:00,2,
d_d004054,2210220001,2210220001,,2022/10/22 11:30,,,
d_d006204,2210300004,,2210300004,,2022/10/30 13:00,2,
a_a002757,2209240002,,2209240002,,2022/09/24 14:00,1,
a_a012100,2210290008,,2210290008,,2022/10/29 19:30,1,1
c_c000599,2208300002,,2208300002,,2022/08/30 12:30,1,
d_d008018,2210270003,,2210270003,,2022/10/27 21:30,9,2
d_d002228,2210110009,,2210110009,,2022/10/11 18:00,2,
d_d002985,2210290006,,2210290006,,2022/10/29 16:30,2,
d_d003989,2210120002,,2210120002,,2022/10/12 11:30,4,
d_d003186,2210280005,,2210280005,,2022/10/28 23:00,4,4
d_d002005,2210050005,,2210050005,,2022/10/05 16:00,1,
d_d003795,2210160001,,2210160001,,2022/10/16 8:30,2,
d_d000928,2208290006,,2208290006,,2022/08/29 20:00,2,
d_d000063,2208090004,,2208090004,,2022/08/09 20:30,2,
d_d004770,2210110001,2210110001,,2022/10/11 7:30,,,
d_d002906,2210300001,,2210300001,,2022/10/30 10:00,2,
d_d004522,2210210002,,2210210002,,2022/10/21 10:30,15,15
d_d001877,2210040004,,2210040004,,2022/10/04 16:00,16,
d_d009808,2211030008,,2211030008,,2022/11/03 19:30,2,
a_a011008,2210310007,,2210310007,,2022/10/31 19:00,1,
d_d001935,2210040004,,2210040004,,2022/10/04 13:00,16,
d_d001431,2209180006,,2209180006,,2022/09/18 15:30,15,
d_d002756,2210030004,,2210030004,,2022/10/03 11:30,2,
d_d007716,2210290002,,2210290002,,2022/10/29 12:30,1,
d_d005156,2210210007,,2210210007,,2022/10/21 18:00,10,14
d_d009153,2211040003,,2211040003,,2022/11/04 22:00,15,
d_d003586,2210090007,,2210090007,,2022/10/09 18:30,15,
d_d001362,2209270004,,2209270004,,2022/09/27 11:30,13,
d_d012397,2211100001,2211100001,,2022/11/10 14:30,,,
d_d000551,2208230003,,2208230003,,2022/08/23 13:30,1,
d_d006281,2210190002,,2210190002,,2022/10/19 11:00,2,
d_d001394,2209170006,,2209170006,,2022/09/17 19:00,2,
d_d001730,2210270004,,2210270004,,2022/10/27 8:00,15,
d_d000074,2208140009,,2208140009,,2022/08/14 22:30,1,
d_d009381,2211040004,,2211040004,,2022/11/04 14:00,2,
d_d001416,2209110011,,2209110011,,2022/09/11 6:00,12,1
d_d012361,2211120002,,2211120002,,2022/11/12 13:00,1,
d_d000090,2208140008,,2208140008,,2022/08/14 17:00,2,
d_d009260,2211020003,,2211020003,,2022/11/02 19:00,2,
d_d006138,2210280010,,2210280010,,2022/10/28 23:00,2,
d_d000769,2208290002,,2208290002,,2022/08/29 13:30,2,
d_d003802,2210210007,,2210210007,,2022/10/21 17:00,1,1
d_d011354,2211060004,,2211060004,,2022/11/06 14:30,13,
d_d000392,2208280001,,2208280001,,2022/08/28 20:30,1,
d_d005204,2210210001,,2210210001,,2022/10/21 7:00,15,15
a_a001479,2208270002,,2208270002,,2022/08/27 11:30,1,
c_c003698,2209280002,,2209280002,,2022/09/28 11:00,1,
d_d000253,2208200004,,2208200004,,2022/08/20 14:00,2,
d_d002080,2210040004,,2210040004,,2022/10/04 17:30,2,
d_d010825,2211050007,,2211050007,,2022/11/05 22:00,2,
d_d004389,2210080002,,2210080002,,2022/10/08 8:30,1,
d_d000157,2208120005,,2208120005,,2022/08/12 20:30,1,
c_c000587,2208200005,,2208200005,,2022/08/20 12:30,1,1
d_d004432,2210090003,,2210090003,,2022/10/09 12:00,2,
d_d001259,2209180001,2209180001,,2022/09/18 5:00,,,
d_d002443,2210040001,,2210040001,,2022/10/04 11:00,2,
a_a007031,2210260008,,2210260008,,2022/10/26 20:30,1,
d_d000488,2208250002,,2208250002,,2022/08/25 12:30,1,
d_d005769,2210130001,2210130001,,2022/10/13 10:30,,,
c_c000869,2208220002,,2208220002,,2022/08/22 14:30,1,
d_d000158,2208140006,,2208140006,,2022/08/14 21:00,1,
d_d003994,2210300004,,2210300004,,2022/10/30 22:00,1,
d_d007007,2210220004,,2210220004,,2022/10/22 15:30,1,
d_d001142,2209280005,,2209280005,,2022/09/28 14:00,13,
d_d000157,2208140006,,2208140006,,2022/08/14 1:00,1,
d_d009409,2211060006,,2211060006,,2022/11/06 21:00,1,
d_d006951,2210210001,2210210001,,2022/10/21 15:00,,,
d_d009822,2211050012,,2211050012,,2022/11/05 19:00,2,
d_d011170,2211010001,2211010001,,2022/11/01 10:00,,,
d_d007611,2210300011,,2210300011,,2022/10/30 20:00,5,
d_d003481,2210300005,,2210300005,,2022/10/30 16:00,1,
d_d005050,2210210007,,2210210007,,2022/10/21 19:30,2,
a_a002009,2209240002,,2209240002,,2022/09/24 23:00,13,13
d_d003557,2210240010,,2210240010,,2022/10/24 23:30,14,
d_d000663,2208290008,,2208290008,,2022/08/29 17:30,2,
d_d002406,2210020007,,2210020007,,2022/10/02 19:00,2,
c_c003205,2210030003,,2210030003,,2022/10/03 15:30,1,
d_d000534,2208190009,,2208190009,,2022/08/19 19:00,2,
d_d000007,2208060002,,2208060002,,2022/08/06 12:00,1,
a_a001313,2209010004,,2209010004,,2022/09/01 22:00,15,
d_d002181,2210250001,,2210250001,,2022/10/25 10:30,1,
d_d002040,2210220001,2210220001,,2022/10/22 7:30,,,
d_d000416,2208280003,,2208280003,,2022/08/28 20:00,4,
d_d004726,2210080007,,2210080007,,2022/10/08 15:30,2,
d_d007735,2211020006,,2211020006,,2022/11/02 23:30,9,5
d_d000330,2208250001,,2208250001,,2022/08/25 10:30,2,
d_d000010,2208270007,,2208270007,,2022/08/27 18:00,1,
d_d010844,2211030004,,2211030004,,2022/11/03 16:00,1,
b_b005018,2210220007,,2210220007,,2022/10/22 18:00,15,
d_d010639,2211060004,,2211060004,,2022/11/06 15:30,1,
d_d009389,2211060006,,2211060006,,2022/11/06 19:00,13,
d_d004179,2210120003,,2210120003,,2022/10/12 16:30,1,
a_a004572,2209290002,,2209290002,,2022/09/29 12:30,2,
d_d001332,2209290002,,2209290002,,2022/09/29 10:30,1,
d_d002120,2210100007,,2210100007,,2022/10/10 19:00,1,
d_d002845,2210100006,,2210100006,,2022/10/10 13:30,13,
d_d002348,2210140003,,2210140003,,2022/10/14 12:30,15,
d_d002467,2210020006,,2210020006,,2022/10/02 19:00,1,
d_d006042,2210220003,,2210220003,,2022/10/22 18:30,10,13
d_d003020,2210220005,,2210220005,,2022/10/22 15:00,1,
d_d001013,2209040005,,2209040005,,2022/09/04 2:00,15,
d_d000583,2208270003,,2208270003,,2022/08/27 11:00,9,
a_a000561,2209080001,,2209080001,,2022/09/08 17:00,1,
d_d010155,2211040002,,2211040002,,2022/11/04 13:30,4,
d_d010369,2211030007,,2211030007,,2022/11/03 19:30,2,
a_a002757,2209230002,,2209230002,,2022/09/23 12:00,1,
d_d007606,2210250005,,2210250005,,2022/10/25 18:00,12,
d_d001693,2210030001,,2210030001,,2022/10/03 10:00,2,
d_d001701,2210130002,,2210130002,,2022/10/13 16:00,5,
d_d010440,2210300006,,2210300006,,2022/10/30 9:30,2,
a_a015309,2211050004,,2211050004,,2022/11/05 15:30,1,
d_d004375,2210140002,,2210140002,,2022/10/14 12:00,2,
d_d009732,2211040003,,2211040003,,2022/11/04 13:30,1,
d_d001292,2209190005,,2209190005,,2022/09/19 15:00,2,
d_d000902,2208200004,,2208200004,,2022/08/20 18:30,1,
d_d003346,2210250001,,2210250001,,2022/10/25 2:00,2,
d_d002028,2210220011,,2210220011,,2022/10/22 21:00,1,
d_d009053,2210290002,,2210290002,,2022/10/29 2:30,1,
d_d007391,2210270007,,2210270007,,2022/10/27 18:00,2,
d_d001725,2210140010,,2210140010,,2022/10/14 22:00,13,
c_c002365,2209240003,,2209240003,,2022/09/24 12:30,1,
d_d000752,2209030003,,2209030003,,2022/09/03 12:30,2,
d_d002475,2210200006,,2210200006,,2022/10/20 20:30,4,
d_d012326,2211130004,,2211130004,,2022/11/13 19:30,1,
d_d001657,2209240010,,2209240010,,2022/09/24 17:30,1,
d_d004816,2210110006,,2210110006,,2022/10/11 16:30,1,
d_d006337,2210310001,,2210310001,,2022/10/31 8:00,15,15
d_d008982,2210270005,,2210270005,,2022/10/27 15:30,2,
d_d003671,2210120001,2210120001,,2022/10/12 13:00,,,
d_d003534,2210200004,,2210200004,,2022/10/20 11:00,2,
d_d001616,2209230004,,2209230004,,2022/09/23 17:00,2,
d_d002878,2210190011,,2210190011,,2022/10/19 20:30,1,
b_b001355,2208210004,,2208210004,,2022/08/21 13:30,2,
d_d005356,2210150003,,2210150003,,2022/10/15 11:30,1,
d_d007190,2210230004,,2210230004,,2022/10/23 16:00,2,
d_d000178,2208260004,,2208260004,,2022/08/26 15:00,2,
d_d001429,2209190007,,2209190007,,2022/09/19 17:00,1,
d_d000169,2208150005,,2208150005,,2022/08/15 21:30,15,
c_c002969,2209220004,,2209220004,,2022/09/22 13:30,1,15
c_c006801,2210160001,,2210160001,,2022/10/16 8:30,15,
b_b002884,2208270005,,2208270005,,2022/08/27 14:00,1,
d_d012281,2211120004,,2211120004,,2022/11/12 14:30,1,
d_d004453,2210110004,,2210110004,,2022/10/11 13:00,2,
d_d004296,2210290004,,2210290004,,2022/10/29 23:00,15,
d_d000180,2208150006,,2208150006,,2022/08/15 19:00,15,
