여행ID,숙소명,숙박경비순번,숙소유형코드,예약여부,체크인시간,체크아웃시간,소비인원,사업자등록번호,상호명,도로명주소,지번주소,도로명코드,지번코드,결제일식,결제방식,결제금액,소비내역
d_d004496,호텔아로하,0,1,Y,2022/10/14 0:00,2022/10/15 0:00,2,,,,,,,,4,88140,
d_d001738,호텔화인 제주,1,1,Y,2022/10/20 0:00,2022/10/22 0:00,3,1248713438,호텔화인(주)신안피앤씨,제주특별자치도 서귀포시 칠십리로 87,,3350263,5013010100,2022/10/20 17:35,1,200000,호텔비
d_d010126,오르다하우스,0,7,Y,2022/11/01 0:00,2022/11/02 0:00,1,,,제주특별자치도 제주시 중앙로 192,제주특별자치도 제주시 이도일동 1789-3,,,,1,25000,
d_d002090,호텔골든데이지 서귀포오션,0,1,Y,2022/10/25 0:00,2022/10/26 0:00,3,,,제주특별자치도 서귀포시 동홍로 7,제주특별자치도 서귀포시 서귀동 255-1,,,,5,60000,
d_d002666,펄호텔 제주,1,1,Y,2022/10/25 0:00,2022/10/26 0:00,1,2208115770,나이스정보통신㈜,,,,,2022/10/25 0:00,1,52200,PEARL HOTEL JEJU
d_d001485,레프트핸더 게스트하우스,0,7,Y,2022/09/17 0:00,2022/09/19 0:00,1,,,제주특별자치도 제주시 구좌읍 상도북2길 17-12,제주특별자치도 제주시 구좌읍 상도리 471-25,,,,3,60000,
d_d003125,루체빌,0,1,Y,2022/11/01 0:00,2022/11/02 0:00,3,,,제주특별자치도 서귀포시 안덕면 산록남로 786,제주특별자치도 서귀포시 안덕면 상천리 산 78-1,,,,1,150000,
d_d010126,하늘조각휴양펜션,0,3,Y,2022/10/31 0:00,2022/11/01 0:00,1,,,제주특별자치도 서귀포시 안덕면 사계북로 75,제주특별자치도 서귀포시 안덕면 사계리 2880-1,,,,1,39000,
d_d000172,리하우스,0,3,Y,2022/08/16 0:00,2022/08/17 0:00,2,,,제주특별자치도 서귀포시 성산읍 서성일로747번길 8,제주특별자치도 서귀포시 성산읍 수산리 2543-1,,,,5,100000,
d_d005999,소노캄 제주,2,4,Y,2022/10/19 0:00,2022/10/20 0:00,4,,SONO HOTELS&RESORTS,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2022/10/19 12:02,1,22000,스위트(럭셔리/취사)
