방문자ID,여행ID,진행순서,방문지명,방문시작일자,방문종료일자,도로명주소,지번주소,X좌표,Y좌표,도로명코드,지번코드,POI_ID,POI_NM,체류시간,방문자유형코드,재방문여부,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,만족도,재방문의향,추천의향,시군구코드
2210180003,d_d002877,12,모메존흑돼지,2022-10-18,2022-10-18,제주특별자치도 제주시 구좌읍 세화1길 17,제주특별자치도 제주시 구좌읍 세화리 3645-8,126.8543871,33.52524509,,,,,60,11,N,9,,5,5,5,
2210300004,d_d006232,27,정방폭포,2022-10-30,2022-10-30,,제주특별자치도 서귀포시 동홍동 299-3,126.5716053,33.24499661,,,POI01000000BZ216F,정방폭포,30,1,N,6,,3,1,1,
2210290004,d_d002588,16,제주237,2022-10-29,2022-10-29,제주특별자치도 서귀포시 안덕면 일주서로 1365,제주특별자치도 서귀포시 안덕면 창천리 481-1,126.3691541,33.26228771,,,,,30,11,N,11,,5,5,5,
2210050008,d_d002978,8,이호테우해수욕장,2022-10-05,2022-10-05,,제주특별자치도 제주시 이호일동 1665-13,126.4526908,33.4973768,,,,,60,1,N,1,,5,5,5,
2211030004,d_d010997,11,김녕미로공원,2022-11-03,2022-11-03,제주특별자치도 제주시 구좌읍 만장굴길 122,제주특별자치도 제주시 구좌읍 김녕리 산 16,126.7722353,33.53653188,,,POI01000000ALD1MR,김녕미로공원,60,1,N,1,,3,2,3,
2210080012,d_d004371,12,서귀포매일올레시장,2022-10-08,2022-10-08,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,126.5632316,33.25015006,,,POI010000006VWMBQ,동문시장,60,4,Y,8,,3,3,3,
2210270012,d_d009107,12,고이정 본점,2022-10-27,2022-10-27,제주특별자치도 제주시 애월읍 애월로 6,제주특별자치도 제주시 애월읍 애월리 2457-1,126.3113463,33.45929137,,,POI01000000C9JCU6,한담풍경하우스,60,11,N,2,,4,3,3,
2210050002,d_d001735,11,성이시돌목장,2022-10-05,2022-10-05,제주특별자치도 제주시 한림읍 금악동길 35,제주특별자치도 제주시 한림읍 금악리 142,126.3273211,33.34776988,,,POI01000000B31QBC,성이시돌목장,60,1,N,1,,4,3,4,
2210270006,d_d009007,5,제주중문관광단지,2022-10-27,2022-10-27,제주특별자치도 서귀포시 중문관광로 227-20,제주특별자치도 서귀포시 중문동 2624-1,126.4207342,33.24583526,,,POI01000000B314AP,우림랜드,30,4,Y,9,,4,4,4,
2211020006,d_d011177,9,한라산국립공원 성판악탐방로,2022-11-02,2022-11-02,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,126.5750287,33.37813103,,,POI01000000E8720R,충혼묘지,30,1,N,1,,4,4,4,
2208310004,d_d000770,32,협재해수욕장,2022-08-31,2022-08-31,제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,126.2391575,33.39386608,,,,,30,1,Y,9,,5,5,5,
2211050004,d_d009683,14,성산일출봉,2022-11-05,2022-11-05,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 78,126.9405375,33.45913497,,,POI01000000EHG9GW,성산일출봉,60,1,Y,1,,4,4,4,
2210090004,d_d002933,26,제주1호돌짜장,2022-10-09,2022-10-09,제주특별자치도 제주시 내도1길 23,제주특별자치도 제주시 내도동 551-1,126.437025,33.49517977,,,,,60,11,N,11,,5,5,5,
2209300004,d_d002061,21,성산포항우도도항선매표소,2022-09-30,2022-09-30,제주특별자치도 서귀포시 성산읍 성산등용로 130-21,제주특별자치도 서귀포시 성산읍 성산리 347-9,126.934213,33.47292189,,,POI01000000EHG8ZE,성산포항종합여객터미널주차타워,30,9,N,6,,4,4,4,
2211040005,d_d009416,29,윈드1947카트테마파크,2022-11-04,2022-11-04,제주특별자치도 서귀포시 토평공단로 78-27,제주특별자치도 서귀포시 토평동 1799,126.5888268,33.28951947,,,POI010000006W5BZD,서바이벌체험관,90,5,Y,4,,5,5,5,
2208270005,d_d000591,4,하귀농협하나로마트,2022-08-27,2022-08-27,제주특별자치도 제주시 애월읍 일주서로 7136,제주특별자치도 제주시 애월읍 하귀1리 190-2,126.4121357,33.48506288,,,,,30,10,N,6,,4,4,4,
2210310002,d_d009068,24,제주국제공항,2022-10-31,2022-10-31,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,126.492769,33.50707896,,,,,60,9,N,6,,4,3,3,
2210080001,d_d004403,1,집,2022-10-08,2022-10-08,,,,,,,POI01000000C9NUKI,시현빌A동,,21,,,,,,,50130
2208190006,d_d000226,6,청파식당횟집,2022-08-19,2022-08-19,제주특별자치도 제주시 구좌읍 세평항로 12,제주특별자치도 제주시 구좌읍 세화리 3648-5,126.8536606,33.52452656,,,POI01000000ERY5RV,세화도전천곡,60,11,N,2,,5,5,5,
2210030003,c_c003205,16,팔영산자연휴양림,2022-10-03,2022-10-04,,전남 고흥군 영남면 우천리 산 350-1,127.4396445,34.62234851,,,,,510,24,N,8,9,4,3,4,
2210280007,d_d006902,8,산방산에펜션,2022-10-28,2022-10-29,제주특별자치도 서귀포시 안덕면 사계북로41번길 151,제주특별자치도 서귀포시 안덕면 사계리 1125,126.2970978,33.24631327,,,,,420,24,N,8,3,3,3,3,
2209080003,d_d000380,12,도두사수항,2022-09-08,2022-09-08,,제주특별자치도 제주시 도두이동 836-7,126.4786372,33.50972326,,,POI01000000EBRQBD,신사수포구,90,1,N,11,,2,2,2,
2211020004,d_d010183,22,런호텔,2022-11-02,2022-11-02,제주특별자치도 서귀포시 태평로431번길 20,제주특별자치도 서귀포시 서귀동 411-1,126.5661461,33.24710554,,,POI01000000ALA4GL,런호텔,30,24,N,8,1,4,4,4,
2208290006,d_d000265,18,쇠소깍,2022-08-29,2022-08-29,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,126.6224051,33.25424607,,,,,30,1,N,1,,3,4,4,
