여행ID,이동수단구분,이용경비구분,이용경비순번,이동수단구분명,소비인원,사업자등록번호,상호명,결제일시,결제방식구분,결제금액,소비내역
a_a008714,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18600,
a_a003521,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,5000,
d_d003456,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,55000,
d_d010414,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,,,2022/10/30 0:00,1,82700,렌트비
d_d001432,2,렌탈비,5,렌터카(승용/승합/버스 등등),2,2068689586,해피네트웍스,2022/08/08 21:30,1,441800,2022 캐스퍼(126H)
d_d007803,2,주유비,0,렌터카(승용/승합/버스 등등),4,,,,,43000,
d_d006321,2,렌탈비,0,렌터카(승용/승합/버스 등등),3,,,,,15800,
d_d002122,9,교통비,12,항공기,2,6168150527,(주)제주항공,2022/09/19 0:00,1,105200,비행기표
d_d007500,9,교통비,0,항공기,4,,,,,472960,비행기표
d_d005742,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,2500,
d_d000370,9,교통비,2,항공기,1,,,2022/09/04 19:20,1,77700,비행기표
d_d005999,4,교통비,2,택시,4,,,2022/10/17 22:00,1,5800,택시비
d_d012342,10,교통비,1,배/선박,2,6168156045,(주)아름다운섬나라,2022/11/10 0:00,1,28500,승선권
d_d001624,50,교통비,0,버스 + 지하철,10,,,,,119000,
d_d001504,50,교통비,0,버스 + 지하철,1,,,,,2400,
d_d009464,50,교통비,0,버스 + 지하철,2,,,,,13200,
a_a001803,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,6600,
d_d010108,9,교통비,0,항공기,2,,,,,212600,비행기표
d_d001522,1,주유비,0,자가용(승용/승합/트럭 등등),6,,,,,10000,
d_d011429,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,14000,
d_d000404,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,30000,
d_d000547,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,5900,
d_d001015,2,주유비,0,렌터카(승용/승합/버스 등등),5,,,,,45000,
d_d012426,2,주차비,0,렌터카(승용/승합/버스 등등),1,,,,,500,
d_d002810,9,교통비,0,항공기,1,,,,,179000,비행기표
d_d000721,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,6000,
d_d002317,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,70000,
d_d000755,2,주유비,0,렌터카(승용/승합/버스 등등),13,,,,,100000,
d_d006278,50,교통비,0,버스 + 지하철,2,,,,,23000,
d_d007893,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,15000,
d_d001066,9,교통비,0,항공기,4,,,,,525200,비행기표
d_d011698,2,렌탈비,0,렌터카(승용/승합/버스 등등),6,,,,,286700,
c_c001751,10,교통비,2,배/선박,2,1078204813,한국해운조합,2022/09/02 9:09,1,8200,승선권
d_d006322,9,교통비,2,항공기,2,6168150527,(주)제주항공,2022/09/28 13:02,1,100200,비행기표
d_d009295,50,교통비,0,버스 + 지하철,2,,,,,10000,
a_a000333,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,80000,
d_d002818,4,교통비,2,택시,1,6168101900,대림교통(주),2022/10/26 20:09,1,6700,택시비
d_d001967,1,주유비,11,자가용(승용/승합/트럭 등등),2,6162604849,모슬포행운주유소,2022/10/09 17:33,1,50000,주유비
d_d000583,4,교통비,0,택시,2,,,,,19800,
d_d003630,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,4000,
d_d004872,2,주차비,0,렌터카(승용/승합/버스 등등),2,,,,,300,
d_d008982,10,교통비,0,배/선박,2,,,,,22000,
d_d001435,50,교통비,0,버스 + 지하철,1,,,,,8200,
d_d001932,2,주유비,0,렌터카(승용/승합/버스 등등),1,,,,,10000,
d_d002026,2,주차비,0,렌터카(승용/승합/버스 등등),2,,,,,5800,
b_b000271,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,8000,
a_a002133,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
d_d004964,2,렌탈비,0,렌터카(승용/승합/버스 등등),4,,,,,277520,
d_d007052,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,20000,
d_d001558,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,47392,
d_d009822,4,교통비,1,택시,1,6161806589,개인택시,2022/11/05 13:36,1,5000,택시비
d_d001037,4,교통비,2,택시,2,5060952426,택시,2022/09/01 17:58,1,9000,택시비
b_b002795,7,교통비,0,KTX/SRT(고속열차),1,,,,,19200,기차표 어른1매
d_d009683,9,교통비,0,항공기,7,,,,,1628700,비행기표
d_d002298,2,렌탈비,1,렌터카(승용/승합/버스 등등),5,,,,1,222000,렌트비
d_d005997,2,주유비,0,렌터카(승용/승합/버스 등등),4,,,,,58329,
d_d001877,9,교통비,2,항공기,1,1108114794,(주)대한항공,2022/10/04 13:35,1,48700,비행기표
d_d006136,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,88000,
b_b006607,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,50000,
d_d010436,1,주차비,13,자가용(승용/승합/트럭 등등),2,2081561153,외돌개7코스주차장,2022/11/03 12:15,1,2000,주차비
d_d001592,2,렌탈비,11,렌터카(승용/승합/버스 등등),2,,제주 알프스렌트카,,1,170500,렌트비
d_d009941,1,주유비,11,자가용(승용/승합/트럭 등등),2,4118211265,무안농협클린주유소,2022/10/31 12:41,1,39000,주유비
a_a001362,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
d_d000887,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,162000,
c_c000516,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,33900,
d_d009574,9,교통비,0,항공기,2,,,,,312800,
d_d001994,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,10800,
d_d004375,9,교통비,1,항공기,1,6168150527,(주)제주항공,2022/09/27 23:54,1,60600,비행기표
d_d011264,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,20000,
d_d009192,4,교통비,1,택시,2,6168100901,현대자동차운수(주),2022/10/28 14:15,1,6200,택시비
d_d009315,9,교통비,0,항공기,5,,,,,742500,비행기표
d_d002122,1,주차비,15,자가용(승용/승합/트럭 등등),2,6058546962,아마노코리아주식회사제주지사,2022/10/16 16:16,1,1000,주차비
d_d002196,9,교통비,4,항공기,3,1218189086,주식회사 진에어,,1,338100,비행기표
c_c002687,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,12400,
d_d002176,9,교통비,1,항공기,1,1028139440,하나투어,2022/10/11 15:40,1,108700,비행기표
d_d000769,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,70000,
d_d000296,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,20000,
d_d000689,1,주차비,11,자가용(승용/승합/트럭 등등),4,,제주민속자연사박물관,2022/08/22 13:03,1,2000,주차비
d_d009041,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,3400,
